"subj","death","entry.years","censor.years","strength.3","strength.6","cons.3","cons.6","st.co3","st.co6","rank","af.groupmates","age.first.rep","period.pres","date.of.birth.estimate.range.years"
"bif","0",13.6618754277892,21.6591375770021,6.46658044560718,4.63735919529754,0.380952381,0.642857143,"1","1",0.2,18,3304,8,0
"bill","0",8.69815195071869,16.6954140999316,5.62599517627141,4.2235561104205,0.380952381,0.714285714,"1","2",0.34,18,1888,8,0
"blaz","0",12.5913757700205,20.5886379192334,6.44685532665031,4.55100582710929,0.476190476,0.619047619,"1","1",0.32,18,2915,8,0
"bond","0",6.19301848049281,8.55304585900068,6.78642221226797,4.27565996191516,0.5,0.75,"1","2",0.71,12.33333333,2262,3,0
"bonn","0",6.8062970568104,14.8035592060233,5.46833752374999,4.02092754551327,0.285714286,0.642857143,"1","1",0.74,18,2284,8,0
"bow","0",14.466803559206,22.4640657084189,7.20732889279563,5.35849729166615,0.476190476,0.595238095,"1","3",0.79,18,2798,8,0
"buai","0",8.12320328542094,10.6146475017112,6.93724567139102,4.74244790648591,0.666666667,0.583333333,"2","1",0.17,20.33333333,2966,3,0
"buzz","0",6.76249144421629,8.65434633812457,7.49040420022417,7.49040420022417,1,1,"2","4",0.5,3,2467,2,0
"ci","0",11.5537303216975,19.5509924709103,7.81934791086262,4.79554350950679,0.333333333,0.666666667,"3","1",0.45,12.25,2631,8,0
"crab","0",8.81314168377823,13.5879534565366,5.77641405386602,4.00755289152159,0.416666667,0.666666667,"1","1",0,11.4,3208,5,0
"cybi","0",7.57837097878166,12.3477070499658,10.3683152577317,6.09973079430252,0.583333333,0.708333333,"4","4",0.28,11.4,2768,5,0
"daff","0",8.09582477754962,14.8501026694045,7.26994495624775,4.79340203337276,0.5,0.638888889,"1","1",0.05,15,2957,7,0
"desd","0",7.28815879534565,13.8179329226557,4.68043199589164,3.27379257333417,0.444444444,0.611111111,"1","1",0.21,15,2662,7,0
"diam","1",11.0965092402464,14.7953456536619,7.42588887613698,4.62594838064714,0.444444444,0.882352941,"1","2",0.87,6.75,2761,4,0
"didg","0",8.7419575633128,16.7392197125257,9.96349455200953,6.91116454541557,0.619047619,0.825,"4","4",0.98,7.375,2233,8,0
"dina","0",8.70636550308008,13.4811772758385,6.45352830641312,4.56118181220357,0.583333333,0.666666667,"2","1",0.72,11.4,3180,5,0
"ding","0",16.6297056810404,24.6269678302532,7.77911286414326,4.70434063724899,0.619047619,0.666666667,"4","1",0.09,14.625,2831,8,2
"dixi","0",9.7138945927447,17.7111567419576,6.39034809253491,4.52971622208017,0.714285714,0.714285714,"2","2",0.94,18,2286,8,0
"dj","0",7.51813826146475,15.5154004106776,4.91725496845932,3.46842997863358,0.428571429,0.595238095,"1","1",0.73,14.625,2448,8,0
"elle","0",8.80219028062971,16.7994524298426,3.82164169633664,2.86571434367494,0.285714286,0.595238095,"1","1",0.06,18,2961,8,0
"flat","0",9.87816563997262,14.6584531143053,7.72065037599322,5.21997235276315,0.583333333,0.772727273,"4","2",0.82,9.4,3608,5,0
"flet","1",18.6694045174538,22.7405886379192,5.92708288545334,3.83019133148776,0.666666667,0.666666667,"2","1",0.63,16.5,2660,4,0
"gaun","1",18.6694045174538,24.227241615332,5.89135894899126,4.41914454291205,0.266666667,0.6,"1","1",0.39,17,2295,6,0.04
"geor","0",10.0561259411362,13.2156057494867,6.27993243894828,5.00680763489898,0.666666667,0.833333333,"2","2",0.75,11.33333333,3673,3,0
"gigi","0",12.6297056810404,20.6269678302532,8.78898558837892,8.0686505628273,0.736842105,0.692307692,"4","4",0.27,11,2707,8,0.5
