"subj","period","start.age","stop.age","death","strength.3","strength.6","rank","af.groupmates","cons.p3","cons.p6","a.st.co3","a.st.co6"
"ci","p2",4585,4950,0,4.6236950455682,2.89229067447184,0.666666666666667,16,0.333333333333333,0.666666666666667,"1","1"
"ci","p3",4951,5315,0,2.28674598829161,1.35459171782876,0.125,9,0.333333333333333,0.833333333333333,"1","2"
"ci","p4",5324,5680,0,21.6388412550444,12.7273794725947,0.333333333333333,10,0,0.333333333333333,"3","3"
"ci","p5",5681,6045,0,10.9257882314815,5.90054918620016,0.454545454545455,10,0.333333333333333,0.833333333333333,"3","4"
"ci","p6",6046,6411,0,10.7214087180011,7.14129753294713,0.583333333333333,13,0.333333333333333,0.5,"3","3"
"ci","p7",6412,6776,0,2.94157542907519,2.63862567051221,0.416666666666667,13,0.333333333333333,0.666666666666667,"1","1"
"ci","p8",6777,7141,0,7.85806189277905,4.71309207873307,0.5,11,0.666666666666667,0.833333333333333,"4","2"
"crab","p5",3503,3867,0,3.0771991779654,2.08620733130288,0,10,0.333333333333333,0.666666666666667,"1","1"
"crab","p6",3868,4233,0,9.32431175035279,6.34510360045187,0,13,0.333333333333333,0.833333333333333,"3","4"
"crab","p7",4234,4598,0,4.56338495584709,3.40724465120144,0,13,0.333333333333333,0.333333333333333,"1","1"
"crab","p8",4599,4963,0,4.75816209126602,3.26960972267225,0,11,0.666666666666667,0.833333333333333,"2","2"
"cybi","p5",3050,3414,0,7.9938839625463,4.58825392648239,0.318181818181818,10,0.666666666666667,0.5,"4","1"
"cybi","p6",3415,3780,0,8.71431672276281,5.59821376959937,0.333333333333333,13,0.666666666666667,0.666666666666667,"4","3"
"cybi","p7",3781,4145,0,7.64691547988967,5.06926140085495,0.333333333333333,13,0.666666666666667,0.666666666666667,"4","1"
"cybi","p8",4146,4510,0,8.82592246042398,5.56659504960079,0.3,11,0.333333333333333,1,"3","4"
"daff","p3",3234,3598,0,7.10483656730373,4.98208128128772,0.0769230769230769,14,0.333333333333333,0.333333333333333,"1","1"
"daff","p4",3607,3963,0,14.690656780568,9.87962552431699,0.0666666666666667,16,0.666666666666667,0.666666666666667,"4","3"
"daff","p5",3964,4328,0,9.66113941483829,5.60671169801664,0.0333333333333333,16,0.666666666666667,0.666666666666667,"4","3"
"daff","p6",4329,4694,0,6.7107929714471,4.8559618145695,0.0769230769230769,14,0.333333333333333,0.666666666666667,"1","1"
"daff","p7",4695,5059,0,2.62360019718962,1.82551439342681,0,13,0.666666666666667,1,"2","2"
"daff","p8",5060,5424,0,3.11169038357632,2.50328598792937,0.117647058823529,17,0.333333333333333,0.5,"1","1"
"desd","p3",2857,3221,0,3.32006065205466,2.62517122815465,0.230769230769231,14,0.333333333333333,0.333333333333333,"1","1"
"desd","p4",3230,3586,0,7.57155258144802,5.45384927988398,0.2,16,0.333333333333333,0.5,"3","3"
"desd","p5",3587,3951,0,8.60410998145157,5.42315744645663,0.2,16,0.333333333333333,0.666666666666667,"3","3"
"desd","p6",3952,4317,0,3.85853714448848,2.55785737411976,0.230769230769231,14,0.666666666666667,0.833333333333333,"2","2"
"desd","p7",4318,4682,0,1.79781025514337,1.1310618707811,0.25,13,0.666666666666667,0.666666666666667,"2","1"
"desd","p8",4683,5047,0,2.83883485121203,2.23143154073126,0.235294117647059,17,0.333333333333333,0.666666666666667,"1","1"
"diam","p2",4418,4783,0,7.9399491633635,5.45068433200622,0.833333333333333,7,0.333333333333333,1,"3","4"
"diam","p3",4784,5148,0,3.23230523050411,2.36755342422542,0.8,6,0.666666666666667,1,"2","2"
"diam","p4",5157,5404,1,9.81892026000576,5.02497737149666,1,7,0.333333333333333,0.666666666666667,"3","1"
"didg","p2",3558,3923,0,10.277871366846,6.51030259565126,1,7,0.666666666666667,1,"4","4"
"didg","p3",3924,4288,0,6.23055118383008,4.09207894008534,1,6,0.666666666666667,1,"2","2"
"didg","p4",4297,4653,0,22.1470274096638,13.8600408478969,0.833333333333333,7,0.333333333333333,0.666666666666667,"3","3"
"didg","p5",4654,5018,0,9.36998214923324,6.79842082586906,1,6,1,0.8,"4","4"
"didg","p6",5019,5384,0,5.4795661353092,4.07130553593323,1,7,0.666666666666667,0.833333333333333,"2","2"
"didg","p7",5385,5749,0,6.80715428783569,4.93145072348703,1,9,0.333333333333333,0.666666666666667,"1","1"
"didg","p8",5750,6114,0,6.30390438840226,5.84108995945601,1,10,0.666666666666667,0.833333333333333,"2","4"
"dina","p5",3464,3828,0,3.84294311524429,2.81696131583318,0.545454545454545,10,0.666666666666667,0.666666666666667,"2","1"
"dina","p6",3829,4194,0,7.4990022139941,5.11411048841489,0.75,13,1,0.5,"4","1"
"dina","p7",4195,4559,0,6.52477978395732,5.1421945271421,0.833333333333333,13,0,0.666666666666667,"1","3"
"dina","p8",4560,4924,0,3.25028482423158,2.47004481466748,0.9,11,0.666666666666667,0.833333333333333,"2","2"
"ding","p2",6439,6804,0,8.1992131506574,5.48732149745272,0.0714285714285714,15,0,0.5,"3","3"
"ding","p3",6805,7169,0,5.07099071226131,3.29264133047326,0.153846153846154,14,0.666666666666667,0.833333333333333,"2","2"
"ding","p4",7178,7534,0,14.5034617931487,8.40969148603386,0.133333333333333,16,0.333333333333333,0.333333333333333,"3","3"
"ding","p5",7535,7899,0,10.3115452470612,5.86390263624081,0.0333333333333333,16,1,0.833333333333333,"4","4"
"ding","p6",7900,8265,0,12.6245766106575,7.13777688394624,0.153846153846154,14,1,0.833333333333333,"4","4"
